player,tm,pos,g,mp,mp2,oncourt,on_off,badpass,lostball,shoot_fouls_committed,off_fouls_committed,shoot_fouls_drawn,off_fouls_drawn,pga,and1,blkd,link,season
Natasha Cloud,WAS,G,27,715,715,9.8,14.8,31,8,17,1,10,NA,298,3,7,/wnba/players/c/cloudna01w.html,2018
Monique Currie,WAS,F,32,508,508,-8.1,-17.9,15,8,22,9,29,NA,65,3,5,/wnba/players/c/currimo01w.html,2018
Elena Delle Donne,WAS,F-G,29,933,933,7.4,15.4,11,8,29,4,57,NA,169,14,18,/wnba/players/d/delleel01w.html,2018
Tianna Hawkins,WAS,F,32,532,532,-7.2,-17.2,11,11,32,9,10,NA,61,5,13,/wnba/players/h/hawkiti01w.html,2018
Myisha Hines-Allen,WAS,F,24,252,252,-5.3,-10.2,4,2,19,2,13,NA,25,4,6,/wnba/players/h/hinesmy01w.html,2018
LaToya Sanders,WAS,F-C,28,686,686,11.9,18.5,7,7,30,4,30,NA,111,7,6,/wnba/players/p/pringla01w.html,2018
Tierra Ruffin-Pratt,WAS,G,33,598,598,-11.1,-25.5,11,11,17,4,29,NA,126,3,11,/wnba/players/r/ruffiti01w.html,2018
Krystal Thomas,WAS,C,24,237,237,-10.6,-16.5,6,2,17,8,6,NA,9,0,11,/wnba/players/t/thomakr01w.html,2018
Kristi Toliver,WAS,G,33,1087,1087,7.9,28,37,22,27,3,32,NA,340,6,4,/wnba/players/t/tolivkr01w.html,2018
Shatori Walker-Kimbrough,WAS,G,19,168,168,-1.2,-4.9,6,8,3,0,6,NA,19,0,2,/wnba/players/w/walkesh01w.html,2018
Alex Bentley,TOT,G,35,745,745,8.3,3.9,38,8,24,7,17,NA,270,2,2,/wnba/players/b/bentlal01w.html,2018
Layshia Clarendon,TOT,G,33,549,549,-2.9,-10.5,19,13,6,3,15,NA,168,2,6,/wnba/players/c/clarela01w.html,2018
Tayler Hill,TOT,G,20,235,235,-18.6,-24.1,11,5,3,0,8,NA,47,2,7,/wnba/players/h/hillta01w.html,2018
Maggie Lucas,TOT,G,8,56,56,-37.7,-42.2,3,2,0,0,0,NA,0,0,1,/wnba/players/l/lucasma01w.html,2018
Teana Muldrow,TOT,F,4,9,9,-9.2,-15.9,0,0,0,0,0,NA,0,0,0,/wnba/players/m/muldrte01w.html,2018
Cappie Pondexter,TOT,G,30,545,545,-17.2,-14.6,14,5,19,0,17,NA,120,2,12,/wnba/players/p/pondeca01w.html,2018
Aerial Powers,TOT,F-G,24,345,345,8.2,5.6,14,8,13,7,29,1,47,6,3,/wnba/players/p/powerae01w.html,2018
Mercedes Russell,TOT,C,24,133,133,1.2,2,0,2,6,4,6,NA,10,0,1,/wnba/players/r/russeme01w.html,2018
Layshia Clarendon,ATL,G,18,311,311,-14.9,-24,12,9,3,1,6,NA,69,0,2,/wnba/players/c/clarela01w.html,2018
Maggie Lucas,ATL,G,7,36,36,-42.1,-47,3,1,0,0,0,NA,0,0,0,/wnba/players/l/lucasma01w.html,2018
Alex Bentley,CON,G,19,413,413,12.8,7.7,23,3,12,4,10,NA,147,2,0,/wnba/players/b/bentlal01w.html,2018
Aerial Powers,DAL,F-G,15,231,231,6.9,4,12,4,10,5,16,NA,29,6,2,/wnba/players/p/powerae01w.html,2018
Cappie Pondexter,LAS,G,13,134,134,-13.6,-17,3,0,7,0,7,NA,22,1,4,/wnba/players/p/pondeca01w.html,2018
Mercedes Russell,NYL,C,2,32,32,13.4,24.9,0,0,0,1,2,NA,5,0,0,/wnba/players/r/russeme01w.html,2018
Teana Muldrow,SEA,F,3,6,6,-6.7,-16.5,0,0,0,0,0,NA,0,0,0,/wnba/players/m/muldrte01w.html,2018
Tayler Hill,WAS,G,13,117,117,-28.5,-34.8,7,3,2,0,7,NA,28,2,2,/wnba/players/h/hillta01w.html,2018
Alex Bentley,ATL,G,16,332,332,3,-0.8,15,5,10,1,4,NA,123,0,2,/wnba/players/b/bentlal01w.html,2018
Layshia Clarendon,CON,G,15,238,238,12.9,6.7,7,4,3,2,9,NA,99,2,4,/wnba/players/c/clarela01w.html,2018
Tayler Hill,DAL,G,7,118,118,-8.3,-12.9,4,2,1,0,1,NA,19,0,5,/wnba/players/h/hillta01w.html,2018
Maggie Lucas,DAL,G,1,20,20,-30,-34.1,0,1,0,0,0,NA,0,0,1,/wnba/players/l/lucasma01w.html,2018
Teana Muldrow,DAL,F,1,3,3,-15,-18.6,0,0,0,0,0,NA,0,0,0,/wnba/players/m/muldrte01w.html,2018
Cappie Pondexter,IND,G,17,411,411,-18.3,-7.7,11,5,12,0,10,NA,98,1,8,/wnba/players/p/pondeca01w.html,2018
Mercedes Russell,SEA,C,22,101,101,-2.7,-13.3,0,2,5,3,4,NA,5,0,1,/wnba/players/r/russeme01w.html,2018
Aerial Powers,WAS,F-G,9,114,114,11,8.7,2,4,1,1,6,NA,18,0,1,/wnba/players/p/powerae01w.html,2018
Alex Bentley,ATL,G,29,634,634,-18.4,-16.7,30,7,15,3,9,NA,196,0,3,/wnba/players/b/bentlal01w.html,2019
Monique Billings,ATL,F,29,553,553,-7.1,3.9,12,12,33,12,23,NA,37,4,15,/wnba/players/b/billimo01w.html,2019
Jessica Breland,ATL,F,33,767,767,-9.3,0.4,20,9,40,3,13,NA,132,1,10,/wnba/players/b/brelaje01w.html,2019
Maite Cazorla,ATL,G,31,477,477,-0.7,13.4,16,9,8,1,7,NA,114,2,3,/wnba/players/c/cazorma01w.html,2019
Nia Coffey,ATL,F,28,389,389,-16.9,-10.3,5,5,22,6,19,NA,29,2,17,/wnba/players/c/coffeni01w.html,2019
Marie Gulich,ATL,C,31,349,349,-13.1,-4.9,6,11,32,9,10,NA,48,1,8,/wnba/players/g/gulima01w.html,2019
Tiffany Hayes,ATL,G,29,817,817,-9.1,0.9,33,27,27,7,52,NA,195,15,24,/wnba/players/h/hayesti01w.html,2019
Angel McCoughtry,ATL,F-G,1,0,0,NA,NA,0,0,0,0,0,NA,0,0,0,/wnba/players/m/mccouan01w.html,2019
Renee Montgomery,ATL,G,34,949,949,-9.4,0,38,18,10,5,10,NA,197,1,10,/wnba/players/m/montgre01w.html,2019
Haley Peters,ATL,F,4,26,26,-33.3,-24.4,2,1,0,1,1,NA,3,0,1,/wnba/players/p/peterha01w.html,2019
Brittney Sykes,ATL,G,34,880,880,-5.8,10.3,31,25,25,7,41,NA,201,10,29,/wnba/players/s/sykesbr01w.html,2019
Elizabeth Williams,ATL,C-F,32,909,909,-9.5,0,13,16,29,7,54,NA,87,12,47,/wnba/players/w/williel01w.html,2019
Kayla Alexander,CHI,C,3,20,20,33.3,32.6,0,0,1,1,0,NA,2,0,0,/wnba/players/a/alexaka01w.html,2019
Kahleah Copper,CHI,G-F,34,502,502,-6.2,-11.4,19,17,19,4,33,NA,71,6,21,/wnba/players/c/coppeka01w.html,2019
Diamond DeShields,CHI,G,34,1027,1027,3.4,9.6,41,20,39,6,71,NA,186,17,24,/wnba/players/d/deshidi01w.html,2019
Stefanie Dolson,CHI,C,34,850,850,4.4,8.7,27,11,54,16,19,NA,177,3,9,/wnba/players/d/dolsost01w.html,2019
Jamierra Faulkner,CHI,G,13,72,72,-12.6,-14.5,4,1,3,0,3,NA,23,0,3,/wnba/players/f/faulkja01w.html,2019
