wnba_player,wnba_link,wnba_id,season,wnba_season,league,nba_player1,nba_season,distance,league2,pred_class,nba_player2,distance2,nba_player3,distance3,nba_player4,distance4,nba_player5,distance5,nba_link1,nba_id1,nba_link2,nba_id2,nba_link3,nba_id3,nba_link4,nba_id4,nba_link5,nba_id5
Riquna Williams,/wnba/players/w/williri02w.html,williri02w,2021,2021,WNBA,Amir Coffey,2022,0.04901808661824363,NBA,2,Austin Reaves,0.07387687475049498,Justin Anderson,0.1046199699553433,Kevin Huerter,0.12349671129822798,Keifer Sykes,0.12759909874511252,/players/c/coffeam01.html,coffeam01,/players/r/reaveau01.html,reaveau01,/players/a/anderju01.html,anderju01,/players/h/huertke01.html,huertke01,/players/s/sykeske01.html,sykeske01
A'ja Wilson,/wnba/players/w/wilsoa01w.html,wilsoa01w,2021,2021,WNBA,Bam Adebayo,2022,0.2406314079985046,NBA,1,Evan Mobley,0.32422367561156373,Isaiah Stewart,0.3782799724800864,Dwight Powell,0.3786254335910968,Richaun Holmes,0.3815703000821503,/players/a/adebaba01.html,adebaba01,/players/m/mobleev01.html,mobleev01,/players/s/stewais01.html,stewais01,/players/p/poweldw01.html,poweldw01,/players/h/holmeri01.html,holmeri01
Jackie Young,/wnba/players/y/youngja01w.html,youngja01w,2021,2021,WNBA,Jalen Brunson,2022,0.00963373856849194,NBA,7,CJ McCollum,0.00980818991916942,Kyrie Irving,0.01184830538716224,De'Aaron Fox,0.01443816150496712,Ja Morant,0.01476902025262663,/players/b/brunsja01.html,brunsja01,/players/m/mccolcj01.html,mccolcj01,/players/i/irvinky01.html,irvinky01,/players/f/foxde01.html,foxde01,/players/m/moranja01.html,moranja01
Amanda Zahui B.,/wnba/players/z/zahuiam01w.html,zahuiam01w,2021,2021,WNBA,Goga Bitadze,2022,0.0581361720965943,NBA,4,Danny Green,0.06212713823497715,Wendell Carter Jr.,0.06455556829757456,Otto Porter Jr.,0.08646387676379864,Maxi Kleber,0.09134179212697376,/players/b/bitadgo01.html,bitadgo01,/players/g/greenda02.html,greenda02,/players/c/cartewe01.html,cartewe01,/players/p/porteot01.html,porteot01,/players/k/klebima01.html,klebima01
Shavonte Zellous,/wnba/players/z/zellosh01w.html,zellosh01w,2021,2021,WNBA,Kenrich Williams,2022,0.11285209276763078,NBA,2,John Konchar,0.1234726393208798,Justin Anderson,0.1398470277000302,Furkan Korkmaz,0.1489487999003999,Quentin Grimes,0.1666442873653207,/players/w/willike04.html,willike04,/players/k/konchjo01.html,konchjo01,/players/a/anderju01.html,anderju01,/players/k/korkmfu01.html,korkmfu01,/players/g/grimequ01.html,grimequ01
Candice Dupree,/wnba/players/d/dupreca01w.html,dupreca01w,2021,2021,WNBA,Bradley Beal,2022,0.00163574489591176,NBA,7,Jimmy Butler,0.00360868703966851,Zach LaVine,0.00397510364585311,Tyler Herro,0.00727681927964792,De'Aaron Fox,0.01060783115629631,/players/b/bealbr01.html,bealbr01,/players/b/butleji01.html,butleji01,/players/l/lavinza01.html,lavinza01,/players/h/herroty01.html,herroty01,/players/f/foxde01.html,foxde01
Bria Holmes,/wnba/players/h/holmebr01w.html,holmebr01w,2021,2021,WNBA,Josh Green,2022,0.04489217713936746,NBA,6,Larry Nance Jr.,0.07534586298819859,Scottie Barnes,0.07866790307830752,JaMychal Green,0.08359282586155432,Obi Toppin,0.0838361337123089,/players/g/greenjo02.html,greenjo02,/players/n/nancela02.html,nancela02,/players/b/barnesc01.html,barnesc01,/players/g/greenja01.html,greenja01,/players/t/toppiob01.html,toppiob01
Karlie Samuelson,/wnba/players/s/samueka01w.html,samueka01w,2021,2021,WNBA,Blake Griffin,2022,0.3397329666293279,NBA,4,Jae'Sean Tate,0.3609867821956106,Nicolas Batum,0.3937458427793769,Jae Crowder,0.40814968829903686,Otto Porter Jr.,0.4198749456360936,/players/g/griffbl01.html,griffbl01,/players/t/tateja01.html,tateja01,/players/b/batumni01.html,batumni01,/players/c/crowdja01.html,crowdja01,/players/p/porteot01.html,porteot01
Layshia Clarendon,/wnba/players/c/clarela01w.html,clarela01w,2021,2021,WNBA,Tim Frazier,2022,0.00132753772412835,NBA,3,T.J. McConnell,0.00171021692113268,Kris Dunn,0.00522938807970437,Raul Neto,0.01022232085880851,D.J. Augustin,0.01056159451566925,/players/f/fraziti01.html,fraziti01,/players/m/mccontj01.html,mccontj01,/players/d/dunnkr01.html,dunnkr01,/players/n/netora01.html,netora01,/players/a/augusdj01.html,augusdj01
Shatori Walker-Kimbrough,/wnba/players/w/walkesh01w.html,walkesh01w,2021,2021,WNBA,Jeremy Lamb,2022,0.02562000798084514,NBA,6,Danilo Gallinari,0.03724015427375138,Lamar Stevens,0.03824843915847154,Jalen McDaniels,0.04103340914140324,David Duke Jr.,0.04421119149594995,/players/l/lambje01.html,lambje01,/players/g/gallida01.html,gallida01,/players/s/stevela01.html,stevela01,/players/m/mcdanja01.html,mcdanja01,/players/d/dukeda01.html,dukeda01
Kristine Anigwe,/wnba/players/a/anigwkr01w.html,anigwkr01w,2021,2021,WNBA,Clint Capela,2022,2.279165872853412e-4,NBA,1,Onyeka Okongwu,9.22394637648008e-4,Cody Zeller,0.00106128737607024,Daniel Gafford,0.0012966612694117,Jarred Vanderbilt,0.00166518436587343,/players/c/capelca01.html,capelca01,/players/o/okongon01.html,okongon01,/players/z/zelleco01.html,zelleco01,/players/g/gaffoda01.html,gaffoda01,/players/v/vandeja01.html,vandeja01
Emma Cannon,/wnba/players/c/cannoem01w.html,cannoem01w,2021,2021,WNBA,Trey Lyles,2022,0.00268334637875099,NBA,6,Javonte Green,0.00564348443985361,Kenyon Martin Jr.,0.00594939999078482,Wenyen Gabriel,0.00606961044444059,Precious Achiuwa,0.0067668514828668,/players/l/lylestr01.html,lylestr01,/players/g/greenja02.html,greenja02,/players/m/martike04.html,martike04,/players/g/gabriwe01.html,gabriwe01,/players/a/achiupr01.html,achiupr01
Kiah Stokes,/wnba/players/s/stokeki01w.html,stokeki01w,2021,2021,WNBA,Mitchell Robinson,2022,1.4270682372068602e-7,NBA,1,Jericho Sims,2.124970227685547e-7,Robert Williams,6.972196644678322e-7,Steven Adams,9.333824152743884e-7,Mason Plumlee,4.119036661474847e-6,/players/r/robinmi01.html,robinmi01,/players/s/simsje01.html,simsje01,/players/w/williro04.html,williro04,/players/a/adamsst01.html,adamsst01,/players/p/plumlma01.html,plumlma01
