player,team,pos,g,mp,g_2,gs,mp_2,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,link,season
Leticia Romero,DAL,G,21,146,21,0,146,5,16,0.313,1,5,0.2,4,11,0.364,13,15,0.867,8,17,23,1,0,15,21,24,/wnba/players/r/romerle01w.html,2018
Tierra Ruffin-Pratt,WAS,G,33,598,33,10,598,56,164,0.341,16,51,0.314,40,113,0.354,53,62,0.855,23,67,51,19,6,26,54,181,/wnba/players/r/ruffiti01w.html,2018
Karlie Samuelson,LAS,F,20,84,20,0,84,7,18,0.389,5,16,0.313,2,2,1,0,0,NA,2,10,6,2,5,3,13,19,/wnba/players/s/samueka01w.html,2018
Shoni Schimmel,LVA,G,2,13,2,0,13,0,5,0,0,4,0,0,1,0,0,0,NA,0,2,1,0,0,1,0,0,/wnba/players/s/schimsh01w.html,2018
Odyssey Sims,LAS,G,34,867,34,24,867,104,268,0.388,15,55,0.273,89,213,0.418,57,79,0.722,14,84,95,20,1,52,56,280,/wnba/players/s/simsod01w.html,2018
Azura Stevens,DAL,F-C,34,700,34,9,700,111,258,0.43,28,88,0.318,83,170,0.488,52,66,0.788,59,155,44,31,39,51,70,302,/wnba/players/s/steveaz01w.html,2018
Breanna Stewart,SEA,F,34,1074,34,34,1074,270,510,0.529,61,147,0.415,209,363,0.576,141,172,0.82,38,284,86,46,49,61,69,742,/wnba/players/s/stewabr01w.html,2018
Kiah Stokes,NYL,C,30,427,30,4,427,42,77,0.545,0,0,NA,42,77,0.545,8,15,0.533,43,134,12,11,19,21,56,92,/wnba/players/s/stokeki01w.html,2018
Shekinna Stricklen,CON,F,34,639,34,30,639,77,179,0.43,58,135,0.43,19,44,0.432,12,14,0.857,9,77,16,20,4,19,46,224,/wnba/players/s/stricsh01w.html,2018
Carolyn Swords,LVA,C,26,375,26,12,375,44,79,0.557,0,0,NA,44,79,0.557,14,16,0.875,45,122,23,5,17,21,55,102,/wnba/players/s/swordca01w.html,2018
Brittney Sykes,ATL,G,29,600,29,7,600,97,236,0.411,22,82,0.268,75,154,0.487,65,98,0.663,18,102,68,10,18,32,52,281,/wnba/players/s/sykesbr01w.html,2018
Stephanie Talbot,PHO,F,31,453,31,8,453,39,84,0.464,17,44,0.386,22,40,0.55,19,21,0.905,25,60,41,14,10,27,51,114,/wnba/players/t/talbost01w.html,2018
Diana Taurasi,PHO,G,33,989,33,33,989,202,453,0.446,106,277,0.383,96,176,0.545,172,186,0.925,4,115,176,30,8,85,100,682,/wnba/players/t/tauradi01w.html,2018
Asia Taylor,IND,F,14,116,14,0,116,9,29,0.31,1,5,0.2,8,24,0.333,7,9,0.778,9,25,6,3,0,11,12,26,/wnba/players/t/tayloas01w.html,2018
Alyssa Thomas,CON,F,24,734,24,24,734,98,211,0.464,0,1,0,98,210,0.467,52,95,0.547,47,195,101,28,10,48,69,248,/wnba/players/t/thomaal01w.html,2018
Jasmine Thomas,CON,G,34,956,34,34,956,160,402,0.398,46,148,0.311,114,254,0.449,71,83,0.855,26,111,163,37,8,85,70,437,/wnba/players/t/thomaja01w.html,2018
Krystal Thomas,WAS,C,24,237,24,7,237,18,42,0.429,0,0,NA,18,42,0.429,7,11,0.636,22,59,4,4,2,19,45,43,/wnba/players/t/thomakr01w.html,2018
Kayla Thornton,DAL,F,34,971,34,32,971,114,255,0.447,43,121,0.355,71,134,0.53,43,50,0.86,44,137,62,35,12,37,93,314,/wnba/players/t/thornka01w.html,2018
Kristi Toliver,WAS,G,33,1087,33,33,1087,149,344,0.433,72,200,0.36,77,144,0.535,89,97,0.918,5,76,146,40,1,72,54,459,/wnba/players/t/tolivkr01w.html,2018
Morgan Tuck,CON,F,34,462,34,1,462,80,169,0.473,22,63,0.349,58,106,0.547,19,23,0.826,23,78,18,14,4,24,41,201,/wnba/players/t/tuckmo01w.html,2018
Yvonne Turner,PHO,G,32,426,32,3,426,47,125,0.376,23,71,0.324,24,54,0.444,15,22,0.682,7,57,43,21,2,20,36,132,/wnba/players/t/turneyv01w.html,2018
Maria Vadeeva,LAS,C,25,204,25,0,204,39,74,0.527,4,12,0.333,35,62,0.565,9,12,0.75,18,55,11,9,11,12,45,91,/wnba/players/v/vadeema01w.html,2018
Courtney Vandersloot,CHI,G,30,955,30,30,955,136,278,0.489,45,113,0.398,91,165,0.552,57,69,0.826,15,112,258,40,17,104,62,374,/wnba/players/v/vandeco01w.html,2018
Kia Vaughn,NYL,C,29,532,29,27,532,73,137,0.533,0,0,NA,73,137,0.533,18,28,0.643,34,115,20,20,7,29,50,164,/wnba/players/v/vaughki01w.html,2018
Victoria Vivians,IND,G,34,920,34,26,920,105,260,0.404,65,163,0.399,40,97,0.412,27,29,0.931,17,107,41,32,5,33,62,302,/wnba/players/v/viviavi01w.html,2018
Shatori Walker-Kimbrough,WAS,G,19,168,19,1,168,24,56,0.429,7,23,0.304,17,33,0.515,12,12,1,3,15,8,7,6,15,8,67,/wnba/players/w/walkesh01w.html,2018
Lindsay Whalen*,MIN,G,32,617,32,29,617,65,179,0.363,15,42,0.357,50,137,0.365,37,42,0.881,10,82,99,21,3,41,42,182,NA,2018
Erica Wheeler,IND,G,34,737,34,22,737,99,282,0.351,21,76,0.276,78,206,0.379,47,59,0.797,20,100,141,28,6,48,77,266,/wnba/players/w/wheeler01w.html,2018
Sami Whitcomb,SEA,G,31,265,31,0,265,30,86,0.349,25,69,0.362,5,17,0.294,6,6,1,5,29,16,16,4,15,20,91,/wnba/players/w/whitcsa01w.html,2018
Sydney Wiese,LAS,G,11,36,11,0,36,0,4,0,0,4,0,0,0,NA,0,0,NA,0,3,2,0,0,1,5,0,/wnba/players/w/wiesesy01w.html,2018
Courtney Williams,CON,G,30,812,30,29,812,171,375,0.456,20,53,0.377,151,322,0.469,17,25,0.68,46,178,90,23,2,54,47,379,/wnba/players/w/willico01w.html,2018
Elizabeth Williams,ATL,C-F,33,885,33,32,885,121,221,0.548,0,0,NA,121,221,0.548,58,103,0.563,71,190,46,26,59,41,88,300,/wnba/players/w/williel01w.html,2018
Gabby Williams,CHI,F,34,781,34,30,781,102,236,0.432,7,26,0.269,95,210,0.452,36,46,0.783,42,146,56,56,8,38,66,247,/wnba/players/w/williga01w.html,2018
Riquna Williams,LAS,G,33,546,33,3,546,81,199,0.407,48,128,0.375,33,71,0.465,24,30,0.8,12,46,22,22,3,16,52,234,/wnba/players/w/williri02w.html,2018
A'ja Wilson,LVA,F,33,1010,33,33,1010,245,530,0.462,0,0,NA,245,530,0.462,192,248,0.774,66,264,74,28,55,47,68,682,/wnba/players/w/wilsoa01w.html,2018
Imani Wright,PHO,G,1,1,1,0,1,0,1,0,0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,/wnba/players/w/wrighim01w.html,2018
