player,tm,pos,g,mp,g_2,mp_2,fgpercent,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,corner_3s_attempt,corner_3s_percent,link,season
Brittany Boyd,NYL,G,30,613,30,613,0.414,10,0.84,0.373,0.201,0.154,0.112,0.16,0.423,0.476,0.382,0.346,0.421,0.37,0.283,0.5,0.111,0,/wnba/players/b/boydbr01w.html,2018
Tina Charles,NYL,C,33,1088,33,1088,0.473,11.5,0.829,0.196,0.299,0.198,0.137,0.171,0.503,0.661,0.518,0.427,0.355,0.326,0.681,0.871,0.032,0,/wnba/players/c/charlti01w.html,2018
Marissa Coleman,NYL,G-F,21,384,21,384,0.348,17.1,0.626,0.104,0.052,0.243,0.226,0.374,0.389,0.667,0.333,0.393,0.269,0.279,0.571,1,0.302,0.231,/wnba/players/c/colemma01w.html,2018
Bria Hartley,NYL,G,34,806,34,806,0.389,15.3,0.558,0.238,0.106,0.102,0.113,0.442,0.453,0.603,0.357,0.296,0.367,0.308,0.388,0.722,0.077,0.222,/wnba/players/h/hartlbr01w.html,2018
Kia Nurse,NYL,G,34,774,34,774,0.402,15.7,0.508,0.254,0.09,0.078,0.086,0.492,0.508,0.677,0.348,0.4,0.273,0.294,0.606,1,0.214,0.333,/wnba/players/n/nurseki01w.html,2018
Epiphanny Prince,NYL,G,16,305,16,305,0.393,16.6,0.648,0.115,0.131,0.156,0.246,0.352,0.38,0.643,0.375,0.211,0.367,0.419,0.367,0.778,0.163,0.571,/wnba/players/p/princep01w.html,2018
Sugar Rodgers,NYL,G,31,608,31,608,0.362,21.5,0.281,0.07,0.049,0.049,0.114,0.719,0.462,0.538,0.333,0.444,0.476,0.323,0.667,0.953,0.128,0.471,/wnba/players/r/rodgesu01w.html,2018
Kiah Stokes,NYL,C,30,427,30,427,0.545,5.4,1,0.662,0.091,0.143,0.104,0,0.545,0.706,0.143,0.364,0.125,NA,0.714,NA,NA,NA,/wnba/players/s/stokeki01w.html,2018
Kia Vaughn,NYL,C,29,532,29,532,0.533,7.6,1,0.358,0.285,0.234,0.124,0,0.533,0.694,0.436,0.5,0.353,NA,0.795,NA,NA,NA,/wnba/players/v/vaughki01w.html,2018
Amanda Zahui B.,NYL,C,29,460,29,460,0.5,12.5,0.661,0.317,0.172,0.1,0.072,0.339,0.58,0.702,0.516,0.5,0.308,0.344,0.638,1,0,NA,/wnba/players/z/zahuiam01w.html,2018
Shavonte Zellous,NYL,G,22,531,22,531,0.423,13,0.799,0.255,0.114,0.168,0.262,0.201,0.462,0.684,0.412,0.24,0.41,0.267,0.455,1,0.1,0,/wnba/players/z/zellosh01w.html,2018
DeWanna Bonner,PHO,F-G,34,1120,34,1120,0.452,14,0.617,0.263,0.159,0.117,0.078,0.383,0.539,0.653,0.479,0.444,0.417,0.313,0.51,0.855,0.182,0.406,/wnba/players/b/bonnede01w.html,2018
Brittney Griner,PHO,C,34,1108,34,1108,0.544,7.4,0.992,0.331,0.378,0.2,0.082,0.008,0.546,0.642,0.497,0.531,0.425,0.25,0.823,1,0,NA,/wnba/players/g/grinebr01w.html,2018
Marie Gulich,PHO,C,23,115,23,115,0.483,9.2,1,0.345,0.172,0.172,0.31,0,0.483,0.5,0.4,0.4,0.556,NA,0.714,NA,NA,NA,/wnba/players/g/gulima01w.html,2018
Briann January,PHO,G,33,895,33,895,0.423,19.3,0.451,0.099,0.044,0.093,0.214,0.549,0.366,0.444,0.375,0.176,0.41,0.47,0.367,0.979,0.23,0.522,/wnba/players/j/januabr01w.html,2018
Camille Little,PHO,F,33,536,33,536,0.33,12.5,0.69,0.27,0.21,0.11,0.1,0.31,0.362,0.444,0.381,0.273,0.2,0.258,0.92,1,0.129,0.5,/wnba/players/l/littlca01w.html,2018
Sancho Lyttle,PHO,F,18,419,18,419,0.54,11.9,0.991,0.265,0.142,0.124,0.46,0.009,0.545,0.867,0.5,0.571,0.365,0,0.82,NA,0,NA,/wnba/players/l/lyttlsa01w.html,2018
Leilani Mitchell,PHO,G,31,461,31,461,0.351,21.3,0.305,0.107,0.061,0.046,0.092,0.695,0.375,0.571,0.25,0.333,0.25,0.341,0.267,0.903,0.088,0.5,/wnba/players/m/mitchle01w.html,2018
Devereaux Peters,PHO,F,5,38,5,38,0.333,13.1,0.833,0.167,0.25,0.083,0.333,0.167,0.4,1,0.333,0,0.25,0,0.75,NA,0,NA,/wnba/players/p/peterde01w.html,2018
Angel Robinson,PHO,F-C,24,238,24,238,0.452,6.5,0.976,0.619,0.095,0.095,0.167,0.024,0.463,0.615,0.5,0.25,0,0,0.842,NA,0,NA,/wnba/players/r/robinan01w.html,2018
Stephanie Talbot,PHO,F,31,453,31,453,0.464,16.2,0.476,0.19,0.143,0.048,0.095,0.524,0.55,0.625,0.667,0.5,0.25,0.386,0.545,1,0.295,0.385,/wnba/players/t/talbost01w.html,2018
Diana Taurasi,PHO,G,33,989,33,989,0.446,19.5,0.389,0.102,0.086,0.051,0.15,0.611,0.545,0.826,0.513,0.348,0.441,0.383,0.385,0.557,0.04,0.636,/wnba/players/t/tauradi01w.html,2018
Yvonne Turner,PHO,G,32,426,32,426,0.376,18.2,0.432,0.184,0.088,0,0.16,0.568,0.444,0.522,0.545,NA,0.3,0.324,0.5,0.826,0.183,0.308,/wnba/players/t/turneyv01w.html,2018
Imani Wright,PHO,G,1,1,1,1,0,23.4,0,0,0,0,0,1,NA,NA,NA,NA,NA,0,NA,NA,1,0,/wnba/players/w/wrighim01w.html,2018
Lindsay Allen,LVA,G,24,358,24,358,0.384,14.5,0.781,0.151,0.137,0.342,0.151,0.219,0.474,0.455,0.4,0.44,0.636,0.063,0.222,1,0,NA,/wnba/players/a/allenli01w.html,2018
Kelsey Bone,LVA,C,32,344,32,344,0.5,9.8,1,0.1,0.475,0.275,0.15,0,0.5,1,0.5,0.5,0.167,NA,0.725,NA,NA,NA,/wnba/players/b/boneke01w.html,2018
Nia Coffey,LVA,F,28,386,28,386,0.38,10,0.964,0.248,0.277,0.212,0.226,0.036,0.379,0.471,0.342,0.414,0.29,0.4,0.6,1,0,NA,/wnba/players/c/coffeni01w.html,2018
Dearica Hamby,LVA,F,33,474,33,474,0.526,12.1,0.743,0.223,0.269,0.2,0.051,0.257,0.608,0.872,0.574,0.457,0.222,0.289,0.722,1,0.022,0,/wnba/players/h/hambyde01w.html,2018
Sequoia Holmes,LVA,G,3,20,3,20,0.667,12,1,0.333,0,0,0.667,0,0.667,0,NA,NA,1,NA,1,NA,NA,NA,/wnba/players/h/holmese01w.html,2018
Moriah Jefferson,LVA,G,16,251,16,251,0.379,14.3,0.828,0.057,0.195,0.345,0.23,0.172,0.417,0.4,0.529,0.4,0.35,0.2,0.267,1,0.067,0,/wnba/players/j/jeffemo01w.html,2018
Raigyne Louis,LVA,G,2,21,2,21,0.4,15.5,0.8,0.2,0,0.2,0.4,0.2,0.5,1,NA,0,0.5,0,0.5,NA,0,NA,/wnba/players/l/louisra01w.html,2018
Kayla McBride,LVA,G,31,1000,31,1000,0.449,16.1,0.722,0.066,0.157,0.294,0.205,0.278,0.47,0.759,0.536,0.419,0.4,0.393,0.564,0.833,0.057,0.286,/wnba/players/m/mcbrika01w.html,2018
Jaime Nared,LVA,G-F,31,283,31,283,0.3,17.6,0.613,0.063,0.113,0.213,0.225,0.388,0.347,0.4,0.333,0.176,0.5,0.226,0.588,1,0.032,0,/wnba/players/n/naredja01w.html,2018
JiSu Park,LVA,C,32,417,32,417,0.388,13,0.98,0.173,0.133,0.265,0.408,0.02,0.396,0.647,0.154,0.269,0.45,0,0.842,NA,0,NA,/wnba/players/p/parkji01w.html,2018
Kelsey Plum,LVA,G,31,790,31,790,0.467,17.8,0.529,0.079,0.128,0.198,0.123,0.471,0.492,0.667,0.552,0.444,0.393,0.439,0.271,0.787,0.047,0.4,/wnba/players/p/plumke01w.html,2018
Shoni Schimmel,LVA,G,2,13,2,13,0,22.8,0.2,0,0,0.2,0,0.8,0,NA,NA,0,NA,0,NA,NA,0,NA,/wnba/players/s/schimsh01w.html,2018
Carolyn Swords,LVA,C,26,375,26,375,0.557,7.9,1,0.342,0.203,0.354,0.101,0,0.557,0.852,0.563,0.321,0.375,NA,0.568,NA,NA,NA,/wnba/players/s/swordca01w.html,2018
